Client ID,Age,Gender,Annual Income,Investment Amount,Investment Preference,Transaction Frequency,Risk Tolerance,Engagement Score
1,58,Female,39840,194219,Mutual Funds,11,Low,44
2,48,Male,70768,280483,Bonds,12,Low,19
3,34,Female,170533,414050,Stocks,11,High,21
4,62,Male,50927,254126,Stocks,19,Medium,34
5,27,Female,128622,212692,Mutual Funds,8,Medium,29
6,40,Female,45329,393522,Mutual Funds,18,High,79
7,58,Male,45791,296687,Mutual Funds,5,Low,40
8,38,Female,82627,303074,Real Estate,12,Medium,80
9,42,Male,158885,439290,Mutual Funds,10,Medium,18
10,30,Male,175444,233510,Mutual Funds,15,Low,49
11,30,Male,139554,196745,Real Estate,5,High,61
12,43,Female,160436,34044,Bonds,17,High,65
13,55,Male,117073,345817,Real Estate,4,Medium,75
14,59,Male,64370,433121,Stocks,12,High,36
15,43,Female,81408,452220,Real Estate,18,Low,96
16,22,Female,120941,198833,Real Estate,8,High,92
17,41,Female,184775,207556,Bonds,17,High,70
18,21,Female,176306,380141,Bonds,8,High,7
19,43,Female,168604,496319,Mutual Funds,13,High,61
20,63,Female,65416,494941,Real Estate,3,Low,64
21,49,Male,102439,233479,Bonds,3,High,88
22,57,Female,48242,88725,Stocks,7,Medium,74
23,21,Male,109324,486549,Mutual Funds,18,High,30
24,40,Female,65249,467321,Real Estate,7,Medium,17
25,52,Male,130124,293156,Stocks,2,Low,44
26,31,Male,125049,461912,Bonds,7,High,72
27,41,Female,115078,345657,Mutual Funds,2,Medium,76
28,63,Female,62294,102585,Stocks,7,High,26
29,44,Male,164756,26694,Real Estate,14,High,17
30,68,Female,184867,180460,Stocks,15,Medium,35
31,46,Female,171503,365904,Mutual Funds,16,Low,46
32,61,Male,119627,218440,Real Estate,8,Low,5
33,47,Male,120381,37835,Real Estate,16,Low,45
34,35,Male,120027,385921,Stocks,7,Low,75
35,34,Female,100366,203470,Mutual Funds,11,Low,16
36,66,Female,124176,23186,Real Estate,4,Low,58
37,63,Female,149667,165617,Mutual Funds,18,High,42
38,22,Female,102870,247130,Bonds,13,High,94
39,56,Male,77387,311535,Stocks,17,Medium,60
40,26,Female,39304,110858,Mutual Funds,12,Low,56
41,40,Male,47032,472071,Bonds,18,Low,6
42,28,Female,121291,371343,Bonds,10,Low,20
43,58,Female,142889,444004,Mutual Funds,7,Medium,84
44,37,Male,89486,33401,Mutual Funds,12,High,24
45,23,Female,95552,102764,Stocks,12,High,91
46,44,Female,190726,63611,Stocks,13,Low,67
47,33,Male,69244,279346,Real Estate,1,High,88
48,69,Female,167014,199440,Stocks,7,High,52
49,28,Male,80697,239891,Mutual Funds,16,High,10
50,45,Male,156031,483874,Real Estate,16,Low,25
51,21,Male,32693,300279,Bonds,16,High,92
52,39,Male,111098,93121,Bonds,16,High,82
53,47,Female,36259,118944,Mutual Funds,14,Medium,45
54,66,Female,149746,261556,Real Estate,11,Low,78
55,26,Female,137772,118765,Real Estate,19,High,1
56,63,Male,147928,68535,Stocks,11,Low,84
57,27,Female,166014,413113,Bonds,2,High,25
58,66,Female,77419,384472,Bonds,7,Low,76
59,54,Female,132092,419507,Stocks,9,High,73
60,33,Female,86105,496578,Bonds,9,High,9
61,36,Male,188455,451624,Stocks,14,Medium,42
62,55,Male,53404,472046,Bonds,10,Low,63
63,69,Female,102656,190165,Bonds,16,High,25
64,59,Male,166774,402723,Bonds,18,Medium,94
65,23,Female,130965,382617,Stocks,1,Medium,48
66,21,Female,86332,427070,Bonds,2,Low,55
67,25,Female,133182,118056,Bonds,4,Low,92
68,61,Male,141395,282619,Real Estate,2,Medium,66
69,23,Female,132619,180977,Bonds,4,Low,89
70,48,Male,138269,84870,Mutual Funds,6,Low,82
71,37,Male,103844,89366,Bonds,4,Low,24
72,45,Female,154983,128836,Bonds,18,High,82
73,63,Male,64142,97814,Real Estate,5,Low,91
74,53,Male,139699,351429,Real Estate,11,Low,44
75,29,Female,126226,232119,Stocks,13,Medium,56
76,55,Male,37393,45185,Stocks,3,Medium,35
77,33,Male,132281,69398,Mutual Funds,19,Medium,34
78,50,Female,189965,256326,Real Estate,11,Low,6
79,67,Female,39388,488824,Stocks,11,Low,49
80,34,Male,92969,101682,Stocks,2,Medium,16
81,27,Female,66660,81593,Stocks,15,Medium,87
82,33,Female,119244,162499,Real Estate,8,High,92
83,42,Male,185798,112518,Real Estate,2,High,13
84,59,Male,109544,60535,Mutual Funds,8,High,12
85,40,Female,161183,114626,Real Estate,15,Low,11
86,35,Male,145370,381334,Real Estate,16,Low,47
87,64,Female,47545,474788,Real Estate,13,Medium,60
88,37,Female,163451,199762,Mutual Funds,17,High,49
89,66,Male,117346,281204,Bonds,14,Low,52
90,43,Male,47809,448857,Bonds,14,High,61
91,45,Female,57967,149679,Stocks,1,High,86
92,44,Female,170820,498854,Bonds,1,Low,95
93,64,Female,53424,68560,Bonds,3,High,91
94,60,Female,184986,200285,Mutual Funds,15,Medium,91
95,48,Male,138411,94610,Mutual Funds,5,Medium,40
96,34,Female,180563,197848,Bonds,5,Low,90
97,64,Male,100069,184936,Bonds,4,High,71
98,20,Male,119119,221381,Bonds,14,Medium,75
99,44,Female,67049,37970,Stocks,7,High,53
100,26,Male,57821,496750,Mutual Funds,15,Medium,61
101,28,Male,125797,164282,Bonds,11,Medium,22
102,43,Female,191017,49088,Real Estate,14,High,83
103,20,Male,178456,458251,Bonds,6,Low,38
104,63,Male,189482,16683,Real Estate,10,Low,84
105,27,Female,107734,401178,Stocks,7,Low,61
106,43,Female,168241,367775,Real Estate,10,High,83
107,30,Female,127445,198320,Mutual Funds,14,High,83
108,36,Female,33830,231608,Stocks,5,High,47
109,27,Female,116940,492889,Stocks,1,Low,27
110,54,Female,188829,171624,Bonds,19,High,81
111,54,Female,93867,378933,Stocks,8,Low,18
112,52,Male,196722,235179,Stocks,19,Medium,20
113,24,Male,194838,50321,Real Estate,17,Low,42
114,61,Female,62419,445566,Bonds,19,Low,41
115,58,Male,46668,330709,Mutual Funds,16,Low,72
116,60,Male,177318,125454,Bonds,4,High,58
117,47,Female,54996,179933,Mutual Funds,8,Low,40
118,26,Male,81312,175236,Real Estate,4,Medium,75
119,28,Female,164137,87095,Stocks,13,Medium,30
120,27,Male,40467,118610,Stocks,7,Medium,12
121,31,Female,182079,181035,Bonds,1,Medium,62
122,53,Male,58702,469443,Bonds,9,Medium,62
123,52,Male,124369,8532,Bonds,4,Medium,87
124,67,Male,105569,119527,Stocks,14,Low,70
125,42,Female,83952,418949,Stocks,9,High,99
126,43,Male,64169,350607,Real Estate,3,High,15
127,56,Male,46829,263950,Mutual Funds,15,Medium,92
128,54,Female,34522,441330,Bonds,5,Low,7
129,63,Female,115687,477234,Stocks,1,Medium,6
130,59,Male,196391,228289,Mutual Funds,11,Medium,27
131,41,Male,150334,272600,Bonds,19,Medium,2
132,46,Male,187615,8413,Bonds,5,Medium,6
133,54,Male,148576,12085,Mutual Funds,17,High,61
134,20,Female,147419,164009,Mutual Funds,19,High,32
135,54,Male,191545,25563,Mutual Funds,17,Low,29
136,56,Male,37699,473084,Stocks,5,Low,98
137,66,Female,98165,304719,Real Estate,9,Medium,65
138,33,Male,105692,264605,Bonds,6,High,15
139,22,Male,47441,12386,Bonds,13,Medium,10
140,20,Male,60716,490089,Mutual Funds,11,High,10
